Author - lshatzer :  first commit  :  2010-10-06
Author - lucamilanesio :  first commit  :  2008-09-01
Author - lucaspanjer :  first commit  :  2010-11-19
Author - lucinka :  first commit  :  2011-10-04
Author - lvotypko :  first commit  :  2012-02-15
Author - manuel_carrasco :  first commit  :  2010-01-17
Author - marco :  first commit  :  2011-04-11
Author - martinficker :  first commit  :  2008-06-12
Author - masanobuimai :  first commit  :  2008-05-08
Author - mathieu-pousse :  first commit  :  2013-09-25
Author - mc1arke :  first commit  :  2011-12-29
Author - mcdonan :  first commit  :  2013-07-24
Author - mcrooney :  first commit  :  2010-03-10
Author - mdillon :  first commit  :  2010-06-11
Author - mdonohue :  first commit  :  2008-04-25
Author - mfriedenhagen :  first commit  :  2010-03-07
Author - mike cirioli :  first commit  :  2017-12-08
Author - mindless :  first commit  :  2008-12-16
Author - mleinart :  first commit  :  2010-12-16
Author - mode :  first commit  :  2010-06-04
Author - mrebasti :  first commit  :  2013-11-10
Author - mspring :  first commit  :  2013-03-22
Author - mstarzyk :  first commit  :  2008-03-05
Author - muhammedeminakbulut :  first commit  :  2015-02-13
Author - n8felton :  first commit  :  2014-05-06
Author - nlabrot :  first commit  :  2014-06-16
Author - nmullaney :  first commit  :  2009-06-01
Author - oguzdag :  first commit  :  2008-03-07
Author - olamy :  first commit  :  2010-01-19
Author - olivergondza :  first commit  :  2013-05-07
Author - olivier lamy :  first commit  :  2011-08-27
Author - olivierlemasle :  first commit  :  2013-01-14
Author - pamdirac :  first commit  :  2009-08-25
Author - petehayes :  first commit  :  2008-08-22
Author - peter-kutak :  first commit  :  2014-02-14
Author - pgweiss :  first commit  :  2009-04-22
Author - phoenix384 :  first commit  :  2014-03-13
Author - puug :  first commit  :  2012-01-17
Author - quinox :  first commit  :  2014-09-11
Author - qxo :  first commit  :  2013-11-23
Author - ramapulavarthi :  first commit  :  2007-01-12
Author - rbair :  first commit  :  2007-02-13
Author - recena :  first commit  :  2015-05-24
Author - redlab :  first commit  :  2013-04-15
Author - redsolo :  first commit  :  2007-10-11
Author - runzexia :  first commit  :  2018-09-13
Author - Robert Sandell :  first commit  :  2015-02-05
Author - rseguy :  first commit  :  2010-02-22
Author - rtyler :  first commit  :  2009-01-22
Author - runzexia :  first commit  :  2018-09-13
Author - russellbarnes :  first commit  :  2013-07-10
Author - samngms :  first commit  :  2009-06-03
Author - segalaj :  first commit  :  2017-10-16
Author - sfarbota :  first commit  :  2014-08-11
Author - sghill :  first commit  :  2013-09-28
Author - shinodkm :  first commit  :  2009-06-19
Author - Slide :  first commit  :  2011-05-13
Author - sogabe :  first commit  :  2008-05-08
Author - sorokh :  first commit  :  2008-04-12
Author - ssogabe :  first commit  :  2013-04-13
Author - stephenconnolly :  first commit  :  2007-05-16
Author - stephlag :  first commit  :  2013-12-31
Author - stigkj :  first commit  :  2009-10-27
Author - stochmim :  first commit  :  2016-09-22
Author - surenpi :  first commit  :  2017-09-22
Author - surenpi :  first commit  :  2017-09-22
Author - swiest :  first commit  :  2008-02-14
Author - szczechp :  first commit  :  2015-09-02
Author - talkdirty :  first commit  :  2017-10-27
Author - tarul :  first commit  :  2008-06-24
Author - tbingaman :  first commit  :  2009-10-28
Author - tblack :  first commit  :  2008-02-29
Author - teilo :  first commit  :  2010-06-22
Author - tequillaz :  first commit  :  2017-05-08
Author - tfennelly :  first commit  :  2014-06-13
Author - thomas@katalisindonesia.com :  first commit  :  2013-12-03
Author - tinexw :  first commit  :  2017-10-15
Author - tjramos :  first commit  :  2016-02-13
Author - unknown :  first commit  :  2010-04-25
Author - Valentina Armenise :  first commit  :  2015-09-07
Author - vb-linetco :  first commit  :  2015-03-16
Author - vglushenkov :  first commit  :  2007-04-18
Author - Vojtech Juranek :  first commit  :  2011-02-12
Author - vlatombe :  first commit  :  2010-03-30
Author - vojtechhabarta :  first commit  :  2008-09-26
Author - vsizikov :  first commit  :  2006-11-09
Author - willemv :  first commit  :  2010-09-01
Author - wjprakash :  first commit  :  2010-10-12
Author - Christian Wolfgang :  first commit  :  2011-05-13
Author - wolfs :  first commit  :  2010-11-05
Author - wyukawa :  first commit  :  2010-02-13
Author - xGhOsTkiLLeRx :  first commit  :  2014-07-27
Author - xlv :  first commit  :  2008-08-24
Author - Zbynek Konecny :  first commit  :  2018-07-13
